,MiFish_MiMammal_aligned.tre,mlCOIintF_aligned.tre,teleo_F_L1848_aligned.tre,Vert-16S-eDNA-F1_aligned.tre,Average_across_loci
French Austral Lands and Seas,0.94649273,1.314527272,1.109812219,2.110547727,1.370344987
Tubbataha Reefs Natural Park,0.97003367,1.186385292,1.239430212,2.046197359,1.360511633
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,1.02217882,1.134907056,1.078167427,2.14576941,1.345255678
Everglades National Park,0.909487269,1.434624472,1.088432444,1.937276537,1.34245518
Wadden Sea,0.869655317,1.366541855,1.128951251,1.95717561,1.330581008
Archipiélago de Revillagigedo,1.009073344,1.049243191,1.213781055,2.021185132,1.32332068
Coiba National Park and its Special Zone of Marine Protection,0.974095959,1.133411238,1.221364387,1.95423014,1.320775431
Peninsula Valdès,0.932059441,1.224666745,1.110312862,1.982087156,1.312281551
The Sundarbans,0.99008403,1.307662068,1.078556731,1.872399267,1.312175524
Cocos Island National Park,1.014243457,1.006293322,1.229322561,1.968364662,1.304556
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",1.015321695,1.053416641,1.110262708,2.033160566,1.303040402
Aldabra Atoll,0.957813669,1.246547077,1.142268899,1.858906578,1.301384056
Belize Barrier Reef Reserve System,1.012733264,1.151423917,1.067947006,1.887746595,1.279962696
"Shark Bay, Western Australia",0.939137998,1.286349985,1.162847026,1.7076239,1.273989727
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,1.035535574,1.188912388,1.151196477,1.707303638,1.270737019
iSimangaliso Wetland Park,0.905730911,1.212107487,1.077351723,1.866877247,1.265516842
Socotra Archipelago,0.909648611,1.285966829,1.093903742,1.748142514,1.259415424
Ningaloo Coast,0.93289293,1.32039943,1.067789189,1.709370509,1.257613015
Lord Howe Island Group,0.993193028,1.280996713,1.027060605,1.721016189,1.255566634
Banc d'Arguin National Park,0.915216379,1.321716059,1.129801836,1.572536442,1.234817679
