,MiFish_MiMammal_aligned.tre,mlCOIintF_aligned.tre,teleo_F_L1848_aligned.tre,Vert-16S-eDNA-F1_aligned.tre
iSimangaliso Wetland Park,0.9504283933306141,1.1385177399429438,0.9184291122375089,1.5869741877420813
Ningaloo Coast,0.9806299944573215,1.199824920104792,0.8953933391751362,1.5188762989899018
Lord Howe Island Group,1.0191865474014097,1.1811601383145618,0.872612201739133,1.5204192832957157
Cocos Island National Park,1.0358297812610664,0.9302774527482556,1.046092514459663,1.6416530643247078
Aldabra Atoll,1.0102148422545147,1.1368383997027363,0.9534319820373998,1.6013195227319497
"Shark Bay, Western Australia",0.9988462065736508,1.1773662044214717,0.9627308229875863,1.5092758076923063
French Austral Lands and Seas,0.9526390603926255,1.228108659133271,1.0042537064910637,1.7845741958041945
Everglades National Park,0.9618911077460681,1.2922507723746794,0.9334565711252648,1.6912986367969494
Coiba National Park and its Special Zone of Marine Protection,0.9852798057405623,1.0687196199782898,1.0254269468662611,1.6412461903578532
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",0.9949032036183629,1.0071683680602281,0.9454805584415578,1.6301544954128426
Banc d'Arguin National Park,0.9775302829864136,1.2238413970014732,0.8942583961845646,1.414841251541307
Wadden Sea,0.887333798336161,1.2701678534683076,0.989469413103972,1.6712996811854508
Socotra Archipelago,0.9561943917775108,1.1736212226640144,0.9007388101059512,1.5305660661345497
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,1.0273834953203755,1.052997173235912,0.9451843443443413,1.7284614071606983
Belize Barrier Reef Reserve System,1.0273342195756008,1.076946905293805,0.9109065627864361,1.6018854429325178
Archipiélago de Revillagigedo,1.031347864126095,0.9846517712023419,1.0272995159083125,1.6882039415829155
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,1.0650396762666987,1.1056226841486545,0.9530742749505923,1.4957576585991943
Peninsula Valdès,0.9480650339130494,1.1276227971795039,0.9764586539850713,1.6705812931995518
Tubbataha Reefs Natural Park,1.0012878091591964,1.1096930641943497,1.0482822860652383,1.7313580557996513
The Sundarbans,1.0420444547855594,1.2063190610574848,0.9024162957785843,1.6108054403409058
