,MiFish_MiMammal_aligned.tre,mlCOIintF_aligned.tre,teleo_F_L1848_aligned.tre,Vert-16S-eDNA-F1_aligned.tre,Average_across_loci
Ningaloo Coast,18514.19309,60487.49788,9139.207672,8461.384021,24150.57067
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,14490.24928,46517.3861,9320.086674,9311.634044,19909.83903
Aldabra Atoll,16211.95416,40255.99131,9284.361612,9036.144876,18697.11299
iSimangaliso Wetland Park,17763.19462,38657.74407,7439.113648,8193.724238,18013.44414
Tubbataha Reefs Natural Park,13429.14613,30327.56721,9081.305161,9314.290378,15538.07722
Belize Barrier Reef Reserve System,12074.81871,34017.66821,6990.781101,6797.77549,14970.26088
Lord Howe Island Group,11408.80832,35934.51978,5905.598481,6099.281372,14837.05199
Cocos Island National Park,11452.83711,24331.16623,8076.649223,8292.72032,13038.34322
Coiba National Park and its Special Zone of Marine Protection,12285.29824,22965.1785,7424.67411,7863.822082,12634.74323
Archipiélago de Revillagigedo,10114.9512,25176.59036,7095.764048,6435.453459,12205.68977
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,8518.838285,29513.25798,5385.4463,5154.138123,12142.92017
"Shark Bay, Western Australia",10029.05469,22401.78499,5807.258045,5327.786567,10891.47107
Peninsula Valdès,10718.68358,22057.47275,4611.129315,5333.796537,10680.27054
Wadden Sea,11289.86532,16469.56244,4462.744297,4358.630084,9145.200535
Banc d'Arguin National Park,10640.30562,15251.28161,5093.146675,5101.308217,9021.51053
Everglades National Park,7807.948208,17199.71279,4101.21345,4064.406174,8293.320155
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",5948.769809,15672.73278,4274.511426,3989.061031,7471.268761
The Sundarbans,7872.15812,12464.63483,3857.997428,3954.507251,7037.324407
French Austral Lands and Seas,6315.945988,11283.9021,3539.191168,3319.891575,6114.732708
Socotra Archipelago,3761.397006,7762.09578,1342.219891,1533.120985,3599.708415
